Glacier Region,Number of Glaciers,Ice Thickness
Alaska,22916,226
Antarctic and Subantarctic,3318,281
Arctic Canada North,3205,327
Arctic Canada South,6679,240
Caucasus and Middle East,1335,55
Central Asia,30131,77
Central Europe,3888,56
Greenland Periphery,13860,216
Iceland,289,401
Low Latitudes,4979,35
New Zealand,3002,60
North Asia,3455,49
Russian Arctic,353,325
Scandinavia,1795,90
South Asia East,13615,60
South Asia West,22563,95
Southern Andes,19089,205
Svalbard,2058,285
Western Canada and USA,14516,70
